"systematic_name_nonumber","gene_name","description","SGD","systematic_name_wnumber"
"YBL083C",NA,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; overlaps verified ORF ALG3","S000000179","4932.YBL083C"
"YDR307W","PMT7","Putative protein mannosyltransferase similar to Pmt1p; has a potential role in protein O-glycosylation","S000002715","4932.YDR307W"
"YDR077W","SED1","Major stress-induced structural GPI-cell wall glycoprotein; associates with translating ribosomes, possible role in mitochondrial genome maintenance; ORF contains two distinct variable minisatellites; SED1 has a paralog, SPI1, that arose from the whole genome duplication","S000002484","4932.YDR077W"
"YNL078W","NIS1","Protein localized in the bud neck at G2/M phase; physically interacts with septins; possibly involved in a mitotic signaling network","S000005022","4932.YNL078W"
"YLR057W","MNL2","Putative mannosidase involved in ER-associated protein degradation; localizes to the endoplasmic reticulum; sequence similarity with seven-hairpin glycosidase (GH47) family members, such as Mns1p and Mnl1p, that hydrolyze 1,2-linked alpha-D-mannose residues; non-essential gene","S000004047","4932.YLR057W"
"YGR227W","DIE2","Dolichyl-phosphoglucose-dependent alpha-1,2-glucosyltransferase; located in the ER; functions in pathway that synthesizes the dolichol-linked oligosaccharide precursor for N-linked protein glycosylation; has a role in regulation of ITR1 and INO1; human homolog ALG10B can complement yeast die2 null mutant","S000003459","4932.YGR227W"
"YLR065C","ENV10","Protein involved in SRP-independent targeting of substrates to the ER; component of an alternative ER targeting pathway that has partial functional redundancy with the GET pathway; preference for substrates with downstream transmembrane domains; interacts with Snd1p, Pho88p/Snd3p, and Sec61p-translocon subunits; can compensate for loss of SRP; role in the late endosome-vacuole interface; putative role in secretory protein quality control","S000004055","4932.YLR065C"
"YLR088W","GAA1","Subunit of the GPI:protein transamidase complex; removes the GPI-anchoring signal and attaches GPI (glycosylphosphatidylinositol) to proteins in the ER; human homolog GPAA1 can complement growth defects of yeast thermosensitive mutant at restrictive temperature","S000004078","4932.YLR088W"
"YOR149C","SMP3","Alpha 1,2-mannosyltransferase; involved in glycosyl phosphatidyl inositol (GPI) biosynthesis; required for addition of the fourth, side branching mannose to the GPI core structure","S000005675","4932.YOR149C"
"YGR023W","MTL1","Putative plasma membrane sensor; involved in cell integrity signaling and stress response during glucose starvation and oxidative stress; has structural and functional similarity to Mid2p; MTL1 has a paralog, MID2, that arose from the whole genome duplication","S000003255","4932.YGR023W"
"YPL227C","ALG5","UDP-glucose:dolichyl-phosphate glucosyltransferase; involved in asparagine-linked glycosylation in the endoplasmic reticulum; human ortholog ALG5 can partially complement yeast alg5 mutant","S000006148","4932.YPL227C"
"YIL039W","TED1","GPI-glycan remodelase; conserved phosphoesterase domain-containing protein; acts together with Emp24p/Erv25p in cargo exit from the ER; functional ortholog of mammalian GPI-glycan remodelase PGAP5; deletion confers sensitivity to 4-(N-(S-glutathionylacetyl)amino) phenylarsenoxide (GSAO)","S000001301","4932.YIL039W"
"YNR059W","MNT4","Putative alpha-1,3-mannosyltransferase; not required for protein O-glycosylation; SWAT-GFP and mCherry fusion proteins localize to the endoplasmic reticulum and vacuole respectively","S000005342","4932.YNR059W"
"YNL158W","PGA1","Essential component of GPI-mannosyltransferase II; complex is responsible for second mannose addition to GPI precursors as a partner of Gpi18p; required for maturation of Gas1p and Pho8p; has synthetic genetic interactions with secretory pathway genes","S000005102","4932.YNL158W"
"YJL158C","CIS3","Mannose-containing glycoprotein constituent of the cell wall; member of the PIR (proteins with internal repeats) family","S000003694","4932.YJL158C"
"YOR002W","ALG6","Alpha 1,3 glucosyltransferase; involved in transfer of oligosaccharides from dolichyl pyrophosphate to asparagine residues of proteins during N-linked protein glycosylation; C998T transition in human ortholog ALG6 causes carbohydrate-deficient glycoprotein syndrome type-Ic; wild-type human ortholog ALG6 can partially complement yeast alg6 mutant","S000005528","4932.YOR002W"
"YCR061W",NA,"Protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm in a punctate pattern; induced by treatment with 8-methoxypsoralen and UVA irradiation","S000000657","4932.YCR061W"
"YHR204W","MNL1","Alpha-1,2-specific exomannosidase of the endoplasmic reticulum; involved in glycan trimming of both folded and misfolded glycoproteins; complexes with Pdi1p, and trims a mannose from Man8GlcNac2 glycans to generate Man7GlcNac2, an oligosaccharide signal on glycoproteins destined for ER-associated protein degradation; requires Pdi1p for stability and substrate recognition; human homolog EDEM1 can complement yeast null mutant","S000001247","4932.YHR204W"
"YCL039W","GID7","Subunit of GID Complex that binds directly to central component Vid30p; GID complex is involved in proteasome-dependent catabolite inactivation of fructose-1,6-bisphosphatase; Gid7p contains six WD40 repeats; computational analysis suggests that Gid7p and Moh1p have similar functions","S000000544","4932.YCL039W"
"YEL040W","UTR2","Chitin transglycosylase; functions in the transfer of chitin to beta(1-6) and beta(1-3) glucans in the cell wall; similar to and functionally redundant with Crh1; glycosylphosphatidylinositol (GPI)-anchored protein localized to bud neck","S000000766","4932.YEL040W"
"YGL257C","MNT2","Mannosyltransferase; involved in adding the 4th and 5th mannose residues of O-linked glycans","S000003226","4932.YGL257C"
"YKL201C","MNN4","Putative positive regulator of mannosylphosphate transferase Mnn6p; involved in mannosylphosphorylation of N-linked oligosaccharides; expression increases in late-logarithmic and stationary growth phases; coding sequence contains length polymorphisms in different strains; MNN4 has a paralog, YJR061W, that arose from the whole genome duplication","S000001684","4932.YKL201C"
"YOL061W","PRS5","5-phospho-ribosyl-1(alpha)-pyrophosphate synthetase; synthesizes PRPP, which is required for nucleotide, histidine, and tryptophan biosynthesis; one of five related enzymes, which are active as heteromultimeric complexes; forms cytoplasmic foci upon DNA replication stress","S000005422","4932.YOL061W"
"YGL142C","GPI10","Integral membrane protein involved in GPI anchor synthesis; putative alpha 1,2 mannosyltransferase required for addition of the third mannose onto the glycosylphosphatidylinositol (GPI) core structure; human PIG-Bp is a functional homolog","S000003110","4932.YGL142C"
"YNL074C","MLF3","Serine-rich protein of unknown function; predicted to be palmitoylated; overproduction suppresses growth inhibition caused by exposure to immunosuppressant leflunomide; MLF3 has a paralog, VHS2, that arose from the whole genome duplication","S000005018","4932.YNL074C"
"YGR166W","TRS65","Component of transport protein particle (TRAPP) complex II; TRAPPII is a multimeric guanine nucleotide-exchange factor for the GTPase Ypt1p, regulating intra-Golgi and endosome-Golgi traffic; role in cell wall beta-glucan biosynthesis and the stress response","S000003398","4932.YGR166W"
"YJL171C","TOH1","GPI-anchored cell wall protein of unknown function; induced in response to cell wall damaging agents and by mutations in genes involved in cell wall biogenesis; sequence similarity to YBR162C/TOS1, a covalently bound cell wall protein; protein abundance increases in response to DNA replication stress","S000003707","4932.YJL171C"
"YJL183W","MNN11","Subunit of a Golgi mannosyltransferase complex; this complex also contains Anp1p, Mnn9p, Mnn10p, and Hoc1p, and mediates elongation of the polysaccharide mannan backbone; has homology to Mnn10p","S000003719","4932.YJL183W"
"YMR149W","SWP1","Delta subunit of the oligosaccharyl transferase glycoprotein complex; complex is required for N-linked glycosylation of proteins in the endoplasmic reticulum","S000004757","4932.YMR149W"
"YJL134W","LCB3","Long-chain base-1-phosphate phosphatase; specific for dihydrosphingosine-1-phosphate, regulates ceramide and long-chain base phosphates levels, involved in incorporation of exogenous long chain bases in sphingolipids; LCB3 has a paralog, YSR3, that arose from the whole genome duplication","S000003670","4932.YJL134W"
"YER113C","TMN3","Protein with a role in cellular adhesion and filamentous growth; similar to Emp70p and Tmn2p; member of Transmembrane Nine family with 9 transmembrane segments; localizes to Golgi; induced by 8-methoxypsoralen plus UVA irradiation","S000000915","4932.YER113C"
"YGR036C","CAX4","Dolichyl pyrophosphate (Dol-P-P) phosphatase; has a luminally oriented active site in the ER; cleaves the anhydride linkage in Dol-P-P; required for Dol-P-P-linked oligosaccharide intermediate synthesis and protein N-glycosylation","S000003268","4932.YGR036C"
"YML002W",NA,"Putative protein of unknown function; expression induced by heat and by calcium shortage","S000004461","4932.YML002W"
"YML115C","VAN1","Component of the mannan polymerase I; complex contains Van1p and Mnn9p and is involved in the first steps of mannan synthesis; mutants are vanadate-resistant","S000004583","4932.YML115C"
"YOL157C","IMA2","Isomaltase (alpha-1,6-glucosidase/alpha-methylglucosidase); preferred specificity for isomaltose, alpha-methylglucoside, and palatinose, but also exhibits alpha-1,2 glucosidase activity on sucrose and kojibiose, and can cleave the 1,3-alpha linkage of nigerose and turanose and the alpha-1,5 linkage of leucrose in vitro; not required for isomaltose utilization, but Ima2p overexpression allows the ima1 null mutant to grow on isomaltose","S000005517","4932.YOL157C"
"YNL058C",NA,"Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to vacuole; not an essential gene; YNL058C has a paralog, PRM5, that arose from the whole genome duplication","S000005003","4932.YNL058C"
"YER001W","MNN1","Alpha-1,3-mannosyltransferase; integral membrane glycoprotein of the Golgi complex, required for addition of alpha1,3-mannose linkages to N-linked and O-linked oligosaccharides, one of five S. cerevisiae proteins of the MNN1 family","S000000803","4932.YER001W"
"YER011W","TIR1","Cell wall mannoprotein; expression is downregulated at acidic pH and induced by cold shock and anaerobiosis; abundance is increased in cells cultured without shaking; member of the Srp1p/Tip1p family of serine-alanine-rich proteins","S000000813","4932.YER011W"
"YJR015W",NA,"Putative protein of unknown function; localizes to endoplasmic reticulum and cytoplasm; predicted to encode a membrane transporter based on phylogenetic analysis; not an essential gene; YJR015W has a paralog, SNG1, that arose from the whole genome duplication","S000003776","4932.YJR015W"
"YMR202W","ERG2","C-8 sterol isomerase; catalyzes isomerization of delta-8 double bond to delta-7 position at an intermediate step in ergosterol biosynthesis; transcriptionally down-regulated when ergosterol is in excess; mutation is functionally complemented by human EBP","S000004815","4932.YMR202W"
